iMAG,Ag,logSFR22,logMsT,RVel,Ai,logMHI,Dist,surface_brightness_proxy,e_logMsT,e_iMAG
-20.77,1.08,-0.2,9.87,4733,0.55,9.83,76.6,-19.48794093392834,0.18,0.42
-22.13,1.38,-0.63,10.74,5274,0.77,9.29,74.9,-20.486199992708013,0.05,0.12
-20.76,1.01,-0.45,10.02,5558,0.56,9.22,78.2,-19.155365284569015,0.04,0.08
-14.7,0.0,-0.57,7.24,764,0.0,8.5,12.8,-14.063394454066048,0.24,0.46
-18.75,0.42,-0.57,9.08,4817,0.26,9.43,67.6,-17.408766573713578,0.06,0.09
-19.5,0.0,-2.55,11.33,6334,0.33,9.59,85.9,-19.261724550489188,0.32,0.31
-21.27,0.97,-0.09,10.34,5592,0.58,9.57,78.7,-20.772872853137088,0.21,0.21
-21.86,1.34,-0.53,10.5,6307,0.7,10.13,121.9,-20.73231095159946,0.19,0.45
-15.49,0.0,-2.09,7.68,1345,0.0,8.59,18.6,-13.859187034900774,0.12,0.28
-22.37,1.49,0.68,10.71,5360,0.79,10.29,74.8,-21.058178677662546,0.08,0.14
-18.99,0.48,-0.57,9.23,5413,0.3,9.32,76.2,-17.42515392283376,0.04,0.07
-22.44,1.55,-0.16,10.83,9974,0.81,10.35,137.5,-20.942908747278242,0.04,0.05
-20.44,0.81,-1.0,10.0,5200,0.5,9.93,73.0,-19.23393462688927,0.08,0.1
-19.14,0.46,-1.15,9.23,4657,0.3,9.35,50.4,-18.503394454066047,0.25,0.47
-21.81,1.33,0.31,10.46,6430,0.71,10.16,87.3,-20.382551133535653,0.05,0.07
-20.61,0.99,-0.37,9.61,4360,0.5,10.08,53.7,-19.9159206585043,0.23,0.44
-18.96,0.41,-1.01,9.2,2101,0.28,8.27,29.1,-17.784990926885662,0.1,0.18
-22.46,1.21,0.2,10.76,11432,0.72,10.43,158.4,-22.176678286732493,0.29,0.28
-18.55,0.37,-1.35,8.97,5362,0.23,9.16,75.2,-17.122551133535655,0.05,0.08
-20.65,0.95,-0.33,9.91,6344,0.53,10.07,86.1,-19.45941455250907,0.08,0.09
-17.9,0.11,-1.65,8.72,2373,0.12,9.1,39.8,-17.465116732191404,0.29,0.48
-18.73,0.39,-1.19,8.89,4665,0.24,9.47,58.9,-18.05493215696735,0.23,0.44
-20.21,0.76,-0.31,9.65,4907,0.45,9.74,59.4,-19.53493215696735,0.23,0.45
-20.56,0.99,-0.89,10.03,7757,0.53,9.73,106.0,-18.981820557895354,0.03,0.05
-20.3,0.79,-0.93,9.87,5397,0.47,9.52,79.4,-19.423357820967077,0.21,0.45
-19.55,0.55,-1.19,9.55,4388,0.37,9.83,53.2,-18.503224162854536,0.2,0.44
-18.87,0.42,-1.74,9.22,4625,0.27,9.79,64.7,-17.790543958936155,0.09,0.11
-18.91,0.5,-1.67,9.1,5334,0.28,9.88,74.9,-17.399210082866677,0.04,0.07
-22.89,1.52,0.16,11.02,9511,0.82,10.33,131.0,-22.253394454066047,0.18,0.17
-20.69,0.95,-1.07,9.98,6419,0.53,9.98,86.8,-19.514990926885663,0.08,0.09
-18.71,0.27,-1.24,9.12,4178,0.24,9.46,53.0,-18.03493215696735,0.24,0.47
-20.87,0.96,-0.3,10.04,5912,0.55,9.22,77.3,-19.993357820967077,0.21,0.44
-19.26,0.52,-1.1,9.36,4214,0.33,9.35,58.8,-17.9041892729366,0.06,0.1
-20.55,0.86,-0.04,9.88,6442,0.51,9.88,87.1,-19.58684399802339,0.11,0.11
-23.17,1.65,-1.09,11.2,5316,0.89,10.18,93.3,-22.058285446846387,0.19,0.44
-19.35,0.52,-0.57,9.45,5149,0.35,9.43,74.5,-17.922551133535656,0.18,0.44
-20.53,0.86,-0.31,9.91,5073,0.5,9.37,79.1,-19.653357820967077,0.21,0.45
-19.83,0.72,-0.57,9.5,5612,0.41,9.3,78.9,-18.702310951599458,0.09,0.1
-21.6,1.16,0.01,10.5,6349,0.66,9.5,86.2,-20.671091108918795,0.12,0.12
-22.83,1.54,-1.12,11.04,5247,0.85,9.79,82.8,-21.608549962953322,0.18,0.42
-21.22,1.1,-0.3,10.2,9263,0.61,10.11,127.5,-20.108285446846384,0.08,0.09
-20.58,1.13,-0.6,9.97,5447,0.53,9.89,76.4,-18.897638816893934,0.03,0.06
-18.72,0.31,-0.11,8.97,4993,0.24,8.59,38.4,-18.0259206585043,0.23,0.45
-18.89,0.46,-1.01,9.05,6067,0.27,9.5,85.7,-17.87633722972959,0.1,0.11
-22.4,1.17,0.78,11.38,8902,0.76,10.22,122.4,-21.558819408446965,0.13,0.13
-23.44,1.49,0.53,11.59,4607,0.9,10.26,97.7,-22.727052644415846,0.23,0.45
-21.78,1.26,-0.45,10.61,4366,0.7,10.28,60.9,-20.352551133535655,0.05,0.09
-18.91,0.49,-1.16,9.18,4509,0.28,9.48,63.0,-17.385586070947763,0.05,0.09
-20.64,0.8,-0.62,10.04,5275,0.49,9.7,74.1,-20.226213903806066,0.29,0.45
-22.84,1.51,-0.4,11.01,12037,0.81,10.45,167.0,-22.16493215696735,0.17,0.16
-20.9,1.04,-0.67,10.15,4588,0.58,9.5,64.1,-19.472551133535653,0.06,0.1
-19.2,0.45,-1.41,9.35,4821,0.3,9.91,74.8,-18.702872853137087,0.28,0.48
