lgMHI,lgMstar,NUVr,lgmust,lgSFR_tot_median,W50cor,INCL,lvir_ratB
8.915,10.097,5.22,8.9,-1.5754901,0.0,45.3,-0.57786024
9.934,11.212,4.39,9.21,0.5715018,459.0,69.0,-3.5877957
9.07,10.275,5.46,9.1,-1.365894,291.0,46.6,-3.536419
9.624,11.22,4.98,9.19,-0.995098,651.0,40.1,-1.197311
9.48,11.329,5.96,9.3,-0.82727253,0.0,21.2,-1.5119298
10.08,10.985,3.78,8.93,0.7820415,482.0,67.5,-0.92916226
9.66,9.044133,1.88,8.06,-0.5198217,184.0,64.0,-1.1776608
9.95,10.167016,1.74,8.76,0.12155424,338.0,52.6,-1.6179446
9.073,10.919,5.42,9.35,-0.9453079,0.0,47.5,-3.905667
9.319,11.11,5.13,9.09,-1.0007813,0.0,49.0,-0.924628
9.595,10.965,3.1,8.99,-0.5426054,473.0,66.7,-0.48141557
9.289,11.133,5.96,9.18,-0.9455554,0.0,48.6,-0.38478994
8.492,10.151387,5.51,8.81,-1.2913668,0.0,63.3,-0.63220936
9.739,10.762,4.14,9.0,-0.122444436,499.0,74.2,-0.9876838
9.561,11.03,3.92,8.85,-0.38083833,381.0,56.6,-3.862655
9.546,10.762,4.42,8.98,-1.1593022,342.0,45.6,0.05947208
9.307,11.142,5.37,8.99,-1.0172794,0.0,63.6,-1.602382
9.86,10.873,3.63,9.27,-0.7036422,365.0,52.9,-4.0649633
9.561,10.707,5.42,9.27,-1.3007634,508.0,52.9,-0.30033025
9.661,10.676,4.01,8.79,0.38750005,385.0,58.9,-0.76800257
9.3,11.13,6.27,9.09,-0.39531258,0.0,30.6,-1.2983487
10.33,11.127,4.3,8.97,-0.3798479,521.0,67.9,-0.5169438
8.772,10.446,5.61,9.45,-1.4594697,0.0,60.1,-0.8656578
9.211,11.004,6.21,9.21,-1.236755,0.0,52.1,-0.53461117
9.522,10.642,3.49,8.69,0.6684373,427.0,78.1,-3.6058123
8.657,10.286,5.84,8.96,-1.5196023,0.0,63.8,-0.6705095
8.706,10.005,5.65,8.83,-1.5533333,0.0,28.7,-0.18748118
9.119,10.897,6.35,9.36,-1.1286885,0.0,60.4,-1.1673015
9.632,11.163,5.19,9.15,-1.2854939,587.0,71.1,-0.95546645
8.727,10.216,5.28,8.76,-1.2339041,0.0,35.1,-0.34774628
8.738,10.402,4.0,9.14,-0.41800946,0.0,39.2,-1.3994148
8.906,10.781,5.59,9.39,-1.0515924,0.0,49.2,-0.28946137
9.192,11.016,4.08,8.97,0.19653493,274.0,90.0,-2.4714692
7.909,9.015772,4.0,8.37,-1.3061461,79.0,1.2,-0.5876088
9.415,9.363987,2.82,8.02,-0.7735217,446.0,75.1,-0.92965657
9.176,11.001,5.96,9.35,-0.90233344,0.0,48.9,-1.1399513
9.73,10.654,3.01,8.96,0.5194506,268.0,44.0,-0.39095643
9.842,10.619,2.99,8.68,0.4242175,391.0,83.0,-3.3520222
9.62,10.124605,2.41,8.29,-0.92602736,182.0,30.9,-4.24205
10.11,10.033,2.42,8.62,0.08304348,162.0,65.3,-0.48633015
10.15,10.592,2.44,8.74,0.761827,454.0,59.7,-0.47239524
8.933,10.745,5.29,9.26,-1.2216667,0.0,44.5,-4.236137
10.25,10.469,2.63,8.4,-0.26688302,327.0,47.0,-3.8906858
9.253,9.850099,2.14,8.66,0.029713716,158.0,28.0,-4.3948855
9.082,10.923,5.79,9.12,-1.0166667,0.0,44.1,-2.6095247
9.271,11.108,5.27,8.91,-0.11881718,0.0,35.7,-4.0706606
9.038,10.251,4.36,8.75,-1.5263393,281.0,57.1,-3.8153954
10.028,11.177,4.83,9.17,-0.8603053,559.0,71.3,-4.203919
