num_features,features,rmse,r2
7,"iMAG, e_iMAG, logMsT, logSFR22, e_logMsT, Dist, surface_brightness_proxy",0.2513998857827889,0.7981493360899773
6,"iMAG, e_iMAG, logSFR22, Dist, RVel, Ag",0.2514187199561727,0.7981190907873918
5,"e_logMsT, Dist, Ag, Ai, surface_brightness_proxy",0.2514506817681438,0.7980677589708882
7,"iMAG, e_iMAG, logMsT, logSFR22, Dist, RVel, Ai",0.25147326715292906,0.7980314820981853
7,"iMAG, logSFR22, e_logMsT, RVel, Ag, Ai, surface_brightness_proxy",0.251484089699054,0.7980140976607818
7,"iMAG, e_iMAG, logMsT, logSFR22, e_logMsT, Dist, Ag",0.25150021005901213,0.7979882018690035
7,"e_iMAG, logMsT, e_logMsT, Dist, Ag, Ai, surface_brightness_proxy",0.25151168388802503,0.7979697692664881
7,"iMAG, e_iMAG, logMsT, Dist, RVel, Ag, Ai",0.25153534457920584,0.7979317559251629
6,"iMAG, e_iMAG, logMsT, logSFR22, Dist, surface_brightness_proxy",0.25153986875174233,0.7979244869680046
8,"iMAG, e_iMAG, logMsT, e_logMsT, Dist, RVel, Ag, Ai",0.25155887895044843,0.7978939419825395
7,"e_iMAG, logMsT, e_logMsT, Dist, RVel, Ai, surface_brightness_proxy",0.25158003640606236,0.7978599441384637
7,"iMAG, logMsT, logSFR22, e_logMsT, Dist, Ag, Ai",0.2515842639453632,0.7978531505770778
5,"iMAG, logMsT, Dist, Ag, surface_brightness_proxy",0.2516085694205178,0.7978140900056085
6,"e_iMAG, e_logMsT, Dist, Ag, Ai, surface_brightness_proxy",0.25161233557239776,0.7978080372026719
6,"logMsT, logSFR22, e_logMsT, Dist, RVel, surface_brightness_proxy",0.25162645719021576,0.7977853407180697
6,"iMAG, logMsT, logSFR22, e_logMsT, Dist, Ag",0.25165163617782443,0.7977448694957622
6,"e_iMAG, logMsT, Dist, Ag, Ai, surface_brightness_proxy",0.25167168064950773,0.7977126482970005
5,"e_iMAG, logMsT, Dist, Ag, surface_brightness_proxy",0.2517052676298721,0.7976586519581569
8,"iMAG, e_iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, Ai",0.25170947991649323,0.7976518795382305
6,"e_iMAG, logMsT, logSFR22, Dist, Ai, surface_brightness_proxy",0.25171255453739044,0.7976469361601772
7,"iMAG, logMsT, logSFR22, Dist, Ag, Ai, surface_brightness_proxy",0.25173489906624547,0.7976110087939932
6,"logMsT, e_logMsT, Dist, Ag, Ai, surface_brightness_proxy",0.2517624143619469,0.7975667630632474
6,"e_iMAG, logMsT, e_logMsT, Dist, Ag, surface_brightness_proxy",0.25176791631845274,0.7975579151100061
6,"iMAG, logMsT, logSFR22, Dist, Ag, surface_brightness_proxy",0.251776079612278,0.7975447869796431
6,"logMsT, logSFR22, e_logMsT, Dist, RVel, Ag",0.251778392131503,0.7975410679311687
7,"iMAG, e_iMAG, logMsT, e_logMsT, Dist, RVel, Ag",0.2517931371924562,0.7975173537698165
7,"e_iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel, Ag",0.25181368525680886,0.7974843044479851
6,"iMAG, e_iMAG, logMsT, logSFR22, Dist, Ag",0.2518331645006486,0.7974529717172831
6,"iMAG, e_iMAG, e_logMsT, Dist, RVel, Ag",0.25185291179930297,0.7974212053414298
7,"iMAG, e_iMAG, logMsT, logSFR22, Dist, Ai, surface_brightness_proxy",0.25188928436032315,0.7973626883158963
6,"e_iMAG, logMsT, logSFR22, Dist, RVel, surface_brightness_proxy",0.2518979552413487,0.7973487371526532
7,"e_iMAG, logMsT, logSFR22, Dist, RVel, Ag, Ai",0.25190189003774854,0.7973424060358598
6,"e_iMAG, logMsT, Dist, RVel, Ai, surface_brightness_proxy",0.2519590603966076,0.7972504073444561
8,"iMAG, e_iMAG, logMsT, logSFR22, e_logMsT, RVel, Ag, surface_brightness_proxy",0.251975648931693,0.7972237091225824
6,"logMsT, e_logMsT, Dist, RVel, Ai, surface_brightness_proxy",0.2519825388862193,0.7972126196500059
5,"logSFR22, Dist, Ag, Ai, surface_brightness_proxy",0.25199161768785533,0.7971980067361512
7,"iMAG, logMsT, logSFR22, e_logMsT, RVel, Ag, surface_brightness_proxy",0.25202124837427015,0.7971503105816637
7,"iMAG, e_iMAG, logMsT, logSFR22, e_logMsT, Dist, RVel",0.2520459573306012,0.7971105325878948
7,"iMAG, logMsT, logSFR22, Dist, RVel, Ai, surface_brightness_proxy",0.25205900143160004,0.7970895318210918
6,"e_iMAG, logMsT, logSFR22, Dist, RVel, Ag",0.2520620422362997,0.797084636024286
6,"iMAG, e_iMAG, logMsT, Dist, Ai, surface_brightness_proxy",0.25208228927359677,0.7970520361142609
7,"iMAG, e_iMAG, logSFR22, e_logMsT, Dist, Ag, Ai",0.25213004025930774,0.7969751415159709
5,"logSFR22, e_logMsT, Dist, Ag, surface_brightness_proxy",0.25213427850940046,0.7969683158528602
7,"e_iMAG, logSFR22, e_logMsT, Dist, RVel, Ag, Ai",0.25214416293367453,0.7969523966319088
6,"logSFR22, e_logMsT, Dist, RVel, Ag, Ai",0.25214635221853426,0.7969488706254485
8,"iMAG, e_iMAG, logMsT, logSFR22, e_logMsT, Dist, Ai, surface_brightness_proxy",0.2521665828731685,0.7969162861995405
5,"e_iMAG, logSFR22, Dist, Ag, surface_brightness_proxy",0.2521843718585652,0.7968876322787515
5,"e_iMAG, Dist, RVel, Ag, surface_brightness_proxy",0.25218857555080837,0.7968808608123468
6,"iMAG, logSFR22, e_logMsT, Dist, Ag, Ai",0.2522302677096373,0.7968136953953278
6,"logSFR22, e_logMsT, RVel, Ag, Ai, surface_brightness_proxy",0.2522440415542436,0.7967915035067333
6,"iMAG, logMsT, Dist, Ag, Ai, surface_brightness_proxy",0.2522629944190099,0.7967609653991103
6,"iMAG, e_iMAG, logSFR22, e_logMsT, Dist, Ag",0.2522714010765186,0.7967474193026716
6,"iMAG, e_iMAG, logMsT, Dist, RVel, Ag",0.2522862524823022,0.796723487335807
6,"iMAG, logSFR22, e_logMsT, RVel, Ag, surface_brightness_proxy",0.25230296798557966,0.7966965498253797
7,"iMAG, e_iMAG, logMsT, logSFR22, Dist, Ag, Ai",0.2523070851304629,0.7966899146550069
5,"logMsT, e_logMsT, Dist, Ag, surface_brightness_proxy",0.25231870555111774,0.7966711866583722
6,"iMAG, e_iMAG, logMsT, logSFR22, Dist, RVel",0.2523419865788467,0.7966336633037985
5,"iMAG, logSFR22, e_logMsT, Dist, Ag",0.252379853624968,0.7965726234399051
9,"iMAG, e_iMAG, logMsT, logSFR22, e_logMsT, RVel, Ag, Ai, surface_brightness_proxy",0.25238021610725314,0.7965720390915729
7,"iMAG, e_iMAG, e_logMsT, Dist, RVel, Ag, Ai",0.252387434221649,0.7965604027809812
6,"logMsT, logSFR22, Dist, Ag, Ai, surface_brightness_proxy",0.25239458785683594,0.7965488700888689
5,"e_iMAG, e_logMsT, Dist, Ag, surface_brightness_proxy",0.2524012124263082,0.796538190035519
7,"iMAG, e_iMAG, logMsT, logSFR22, e_logMsT, RVel, Ag",0.25242895873033677,0.7964934547232275
5,"iMAG, logSFR22, e_logMsT, RVel, Ag",0.25244298888587563,0.7964708320586533
5,"iMAG, logSFR22, Dist, Ag, surface_brightness_proxy",0.25245417152547905,0.7964527999179746
7,"e_iMAG, logMsT, logSFR22, e_logMsT, Dist, Ai, surface_brightness_proxy",0.2524832044617845,0.7964059802305189
6,"iMAG, e_iMAG, Dist, RVel, Ag, Ai",0.25250859712666346,0.7963650265782243
6,"e_iMAG, logMsT, logSFR22, e_logMsT, Dist, surface_brightness_proxy",0.25253945718505993,0.7963152494914212
6,"iMAG, logSFR22, e_logMsT, Dist, RVel, surface_brightness_proxy",0.2525736142327647,0.7962601472882429
7,"iMAG, logMsT, logSFR22, e_logMsT, Dist, Ai, surface_brightness_proxy",0.252577410766602,0.7962540222536812
5,"e_iMAG, logMsT, Dist, Ai, surface_brightness_proxy",0.25261975599674535,0.7961856994886529
7,"iMAG, e_iMAG, logMsT, logSFR22, e_logMsT, Dist, Ai",0.2526257236695601,0.7961760699058675
7,"iMAG, e_iMAG, logSFR22, e_logMsT, RVel, Ag, surface_brightness_proxy",0.2526274082931659,0.7961733515148508
6,"iMAG, e_logMsT, RVel, Ag, Ai, surface_brightness_proxy",0.2526410424494615,0.7961513501065944
6,"logMsT, logSFR22, Dist, RVel, Ai, surface_brightness_proxy",0.25266826783980484,0.7961074130008448
6,"iMAG, e_iMAG, logSFR22, Dist, Ag, Ai",0.2526915413387479,0.7960698498157625
5,"iMAG, logMsT, Dist, RVel, surface_brightness_proxy",0.2526971826520533,0.7960607442738422
5,"logMsT, Dist, RVel, Ag, surface_brightness_proxy",0.2527125236224839,0.7960359816625093
6,"logMsT, e_logMsT, Dist, RVel, Ag, Ai",0.25273043033332837,0.7960070756625617
6,"iMAG, logSFR22, e_logMsT, RVel, Ag, Ai",0.2527464482853989,0.7959812168656735
5,"iMAG, e_logMsT, RVel, Ag, surface_brightness_proxy",0.2527606704768719,0.7959582557055486
7,"iMAG, e_iMAG, logMsT, e_logMsT, Dist, Ai, surface_brightness_proxy",0.2527703661921876,0.7959426016197675
4,"e_logMsT, Dist, Ag, surface_brightness_proxy",0.2527704721992382,0.795942430464202
